# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 5
flt:plate_Thigh_C 378.059531
flt:plate_Tlow_C 190.036606
flt:plate_Q_kW 1.149482
flt:plate_Tpeak_C 1252.412885
flt:cool_Thigh_C 77.545804
flt:cool_Tlow_C 22.465769
flt:air_psig 80.000000
flt:water_gph 1.600000
flt:cool_Q_kW 0.000000
flt:standoff_in 0.171000
flt:oxygen_scfh 12.910500
flt:fuel_scfh 7.160063
flt:flow_scfh 20.070563
flt:ratio_fto 0.554592

## End Configuration ##
#: Thu Jul 14 12:13:04 2016
8.379692	0.919827
-9.068244	-4.426129
-9.076456	-4.407178
-9.061927	-4.401808
-9.045502	-4.416969
-9.020550	-4.412863
-8.983595	-4.402756
-8.825667	-4.342112
-8.621625	-4.257779
-8.425163	-4.195240
-8.226807	-4.111854
-8.027503	-4.037312
-7.827567	-3.950452
-7.628579	-3.868330
-7.425168	-3.813687
-7.227759	-3.755886
-7.026560	-3.720194
-6.826308	-3.654812
-6.627319	-3.586272
-6.425488	-3.503202
-6.226816	-3.440347
-6.023090	-3.386968
-5.824417	-3.328535
-5.627008	-3.267259
-5.424861	-3.185768
-5.228084	-3.123545
-5.023726	-3.046792
-4.821579	-2.988359
-4.622591	-2.921714
-4.425813	-2.848752
-4.226509	-2.772630
-4.024678	-2.704406
-3.825058	-2.651658
-3.622279	-2.570800
-3.431819	-2.521210
-3.224934	-2.439088
-3.026262	-2.354123
-2.827273	-2.281477
-2.627653	-2.207883
-2.426770	-2.146923
-2.227782	-2.068907
-2.027214	-1.996892
-1.820013	-1.902135
-1.624183	-1.821908
-1.423616	-1.748630
-1.219258	-1.663981
-1.022796	-1.585649
-0.827598	-1.490893
-0.624188	-1.394241
-0.427410	-1.281165
-0.225264	-1.106814
-0.020274	-0.883820
0.182212	-0.625451
0.372065	-0.380348
0.578029	-0.127033
0.780202	0.093762
0.975741	0.264345
1.173807	0.365747
1.380403	0.452934
1.574678	0.513586
1.768954	0.556548
1.978708	0.592244
2.177090	0.580240
2.375156	0.573606
2.578909	0.607407
2.780450	0.641208
2.972514	0.677852
3.172792	0.675641
3.376860	0.670586
3.577453	0.658898
3.781522	0.689540
3.981483	0.741347
4.177022	0.768514
4.376036	0.766302
4.574735	0.721761
4.776907	0.707862
4.975605	0.738504
5.179042	0.822216
5.377424	0.841170
5.577702	0.831693
5.777031	0.802314
5.976993	0.761248
6.184220	0.811791
6.383234	0.857912
6.583512	0.876234
6.774944	0.869916
6.976801	0.823479
7.179290	0.808632
7.381463	0.852542
7.583004	0.945099
7.782650	0.912562
7.975977	0.903717
8.177203	0.856648
8.377481	0.821268
8.580916	0.895819
8.780247	0.951417
8.982103	0.965948
9.176695	0.938149
9.378868	0.890765
9.579778	0.869916
9.782267	0.925514
9.980965	0.979848
9.775632	0.963421
9.583252	0.919196
9.375393	0.884447
9.175116	0.881604
8.981156	0.922355
8.772349	0.951733
8.579969	0.936570
8.378112	0.883815
8.179098	0.854437
7.975662	0.853489
7.781702	0.891081
7.579845	0.909719
7.384938	0.895819
7.182765	0.856648
6.979012	0.826638
6.780630	0.823479
6.581932	0.821584
6.378180	0.852542
6.182009	0.839590
5.979204	0.790942
5.771661	0.790626
5.570120	0.790310
5.374581	0.797892
5.182517	0.797892
4.986030	0.784624
4.775328	0.745453
4.577893	0.740399
