# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 5
flt:plate_Thigh_C 367.571743
flt:plate_Tlow_C 187.090247
flt:plate_Q_kW 1.103377
flt:plate_Tpeak_C 1208.263834
flt:cool_Thigh_C 77.131017
flt:cool_Tlow_C 21.722865
flt:air_psig 80.000000
flt:water_gph 1.600000
flt:cool_Q_kW 0.000000
flt:standoff_in 0.342000
flt:oxygen_scfh 12.910500
flt:fuel_scfh 7.136625
flt:flow_scfh 20.047125
flt:ratio_fto 0.552777

## End Configuration ##
#: Thu Jul 14 12:07:12 2016
8.380008	0.557180
-9.727117	-3.722721
-9.704374	-3.710403
-9.626042	-3.711035
-9.430213	-3.645337
-9.227434	-3.592589
-9.024340	-3.534156
-8.827878	-3.472880
-8.621625	-3.427713
-8.433060	-3.381914
-8.226491	-3.322217
-8.028450	-3.259047
-7.828198	-3.208826
-7.623525	-3.142496
-7.415377	-3.094171
-7.233760	-3.051214
-7.026560	-2.984885
-6.827571	-2.926768
-6.627004	-2.856964
-6.430226	-2.792845
-6.223026	-2.736623
-6.023722	-2.691772
-5.830102	-2.649447
-5.626692	-2.592593
-5.427072	-2.522474
-5.227768	-2.465936
-5.022462	-2.413820
-4.820947	-2.358229
-4.627328	-2.322538
-4.425181	-2.257156
-4.223666	-2.188300
-4.025941	-2.126392
-3.825690	-2.062274
-3.624174	-2.008262
-3.426450	-1.945407
-3.228093	-1.884763
-3.024051	-1.800114
-2.824115	-1.730942
-2.624495	-1.675984
-2.421084	-1.619446
-2.229361	-1.577753
-2.024055	-1.506685
-1.826962	-1.436882
-1.624183	-1.349390
-1.421405	-1.273901
-1.223048	-1.208519
-1.023428	-1.120711
-0.824755	-1.004477
-0.622924	-0.856025
-0.423936	-0.709784
-0.220210	-0.570493
-0.019642	-0.470683
0.182212	-0.326653
0.374908	-0.193362
0.579292	-0.077128
0.775147	0.038480
0.975109	0.130721
1.175703	0.223595
1.376612	0.284562
1.572151	0.331631
1.773692	0.340792
1.978708	0.330367
2.176142	0.358166
2.371682	0.399232
2.580804	0.413763
2.779186	0.414079
2.975041	0.421977
3.173108	0.397969
3.379703	0.436508
3.580297	0.461464
3.778047	0.474415
3.983379	0.481997
4.172916	0.454830
4.372561	0.446301
4.577261	0.462411
4.778487	0.508532
4.978448	0.502530
5.184728	0.510427
5.372685	0.488315
5.577702	0.465570
5.783981	0.498423
5.983311	0.522431
6.179798	0.544860
6.380075	0.530329
6.583512	0.517061
6.777155	0.511059
6.978065	0.527170
7.185608	0.566341
7.379883	0.556232
7.581425	0.547071
7.779175	0.525590
7.978505	0.556232
8.175623	0.548967
8.377165	0.569184
8.584707	0.575502
8.775508	0.544544
8.981472	0.544228
9.177011	0.545808
9.378236	0.551178
9.577566	0.578661
9.779423	0.591928
9.976226	0.571079
9.771842	0.562866
9.582305	0.574870
9.379184	0.558759
9.175431	0.576134
8.986210	0.560339
8.782774	0.549598
8.579021	0.553073
8.379060	0.542965
8.180362	0.543912
7.973451	0.553705
7.785809	0.545176
7.582688	0.518641
7.379251	0.542649
7.176447	0.522115
6.980276	0.522431
6.772733	0.533172
6.582564	0.525590
6.383550	0.527802
6.176323	0.528117
5.980784	0.517693
5.777347	0.500951
5.576122	0.503478
5.378372	0.493369
5.179042	0.495264
4.977501	0.503794
4.776907	0.470625
4.577261	0.469677
