# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:plate_Thigh_C 387.668286
flt:plate_Tlow_C 203.096979
flt:plate_Q_kW 1.128380
flt:plate_Tpeak_C 1247.885162
flt:cool_Thigh_C 79.140935
flt:cool_Tlow_C 23.000685
flt:air_psig 80.000000
flt:water_gph 1.400000
flt:cool_Q_kW 0.000000
flt:standoff_in 0.228000
flt:oxygen_scfh 12.930031
flt:fuel_scfh 7.148344
flt:flow_scfh 20.078375
flt:ratio_fto 0.552848

## End Configuration ##
#: Mon Jul 25 16:27:00 2016
-7.025296	-3.635545
-9.173423	-4.321265
-9.155419	-4.320950
-9.165526	-4.311474
-9.136784	-4.299471
-9.121939	-4.297260
-9.022760	-4.289996
-8.815560	-4.225562
-8.625416	-4.163023
-8.427691	-4.064476
-8.228703	-4.004779
-8.027819	-3.927711
-7.829462	-3.896441
-7.620050	-3.831375
-7.425484	-3.749253
-7.237866	-3.707244
-7.026560	-3.603644
-6.841469	-3.552160
-6.620055	-3.500675
-6.428963	-3.452034
-6.217656	-3.390758
-6.021511	-3.311794
-5.826944	-3.260626
-5.624797	-3.203772
-5.428336	-3.149761
-5.214186	-3.076798
-5.025305	-3.023419
-4.812103	-2.946035
-4.640594	-2.900867
-4.424866	-2.845909
-4.224614	-2.765682
-4.028784	-2.711987
-3.814950	-2.625758
-3.625438	-2.558797
-3.424238	-2.486782
-3.226829	-2.429297
-3.025630	-2.346227
-2.831695	-2.279897
-2.620704	-2.208830
-2.416347	-2.109968
-2.238836	-2.070170
-2.020581	-1.993733
-1.833911	-1.912559
-1.622920	-1.864549
-1.428354	-1.762528
-1.211677	-1.729679
-1.020585	-1.627974
-0.834231	-1.567330
-0.621029	-1.481101
-0.428358	-1.345916
-0.224000	-1.194621
-0.021221	-1.024691
0.181580	-0.831704
0.372065	-0.593234
0.567288	-0.385402
0.781465	-0.133350
0.968791	0.042271
1.176334	0.191689
1.379455	0.351216
1.566149	0.404602
1.775587	0.442826
1.971758	0.434613
2.170141	0.454514
2.371682	0.490210
2.580173	0.532224
2.773500	0.547387
2.982307	0.516113
3.176267	0.533488
3.373069	0.515482
3.579033	0.594771
3.769202	0.590981
3.983063	0.615620
4.168493	0.604564
4.378563	0.565077
4.578209	0.603301
4.775959	0.627624
4.975289	0.670270
5.178094	0.651948
5.375844	0.651632
5.564118	0.617200
5.779874	0.632995
5.975414	0.681011
6.165583	0.668691
6.387657	0.689224
6.573719	0.661109
6.780946	0.659214
6.971747	0.682274
7.175815	0.700280
7.380515	0.729027
7.577002	0.703439
7.779807	0.697753
7.971555	0.689540
8.177519	0.715127
8.365160	0.724920
8.583444	0.756510
8.766979	0.724920
8.981472	0.705651
9.175116	0.741663
9.365601	0.719866
9.577250	0.741663
9.771842	0.758089
9.984123	0.741663
9.768998	0.735661
9.574408	0.754930
9.370655	0.737556
9.174168	0.741031
8.983051	0.763775
8.769191	0.709757
8.580285	0.717655
8.370214	0.724604
8.176887	0.690803
7.973766	0.734081
7.773489	0.698701
7.582688	0.707230
7.370722	0.703755
7.174236	0.676904
6.973958	0.676588
6.765783	0.680379
6.574983	0.685749
6.378812	0.667111
6.173796	0.696805
5.972570	0.645630
5.777347	0.656055
5.570436	0.667111
5.367315	0.620991
5.179358	0.643735
4.972446	0.630468
4.778487	0.618464
4.574103	0.591612
