# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 5
flt:plate_Thigh_C 287.648917
flt:plate_Tlow_C 164.308778
flt:plate_Q_kW 0.754042
flt:plate_Tpeak_C 874.744442
flt:cool_Thigh_C 73.340815
flt:cool_Tlow_C 19.709442
flt:air_psig 80.000000
flt:water_gph 1.000000
flt:cool_Q_kW 0.000000
flt:standoff_in 0.228000
flt:oxygen_scfh 10.000344
flt:fuel_scfh 5.038969
flt:flow_scfh 15.039313
flt:ratio_fto 0.503880

## End Configuration ##
#: Mon Jul 11 18:06:23 2016
8.180362	0.327840
-9.822504	-3.616594
-9.727117	-3.692399
-9.622252	-3.718615
-9.430844	-3.628596
-9.230908	-3.465300
-9.030341	-3.406867
-8.826931	-3.391074
-8.626995	-3.398970
-8.432744	-3.378124
-8.231544	-3.239464
-8.033820	-3.165554
-7.831357	-3.105857
-7.629210	-3.079010
-7.425168	-3.085011
-7.232181	-3.009206
-7.029087	-2.899604
-6.829466	-2.847172
-6.626688	-2.764734
-6.429279	-2.747994
-6.225553	-2.763155
-6.029091	-2.671241
-5.829787	-2.598595
-5.627640	-2.537319
-5.429283	-2.440036
-5.227452	-2.420453
-5.029411	-2.415083
-4.822843	-2.328855
-4.627645	-2.285583
-4.427709	-2.210409
-4.231879	-2.119759
-4.026573	-2.074592
-3.822847	-2.003525
-3.621016	-1.961516
-3.424554	-1.908453
-3.229040	-1.828857
-3.025946	-1.758422
-2.825063	-1.693356
-2.624811	-1.637449
-2.421400	-1.579332
-2.230308	-1.509212
-2.029425	-1.372447
-1.827910	-1.243894
-1.617550	-1.119448
-1.424879	-1.018058
-1.224627	-0.903403
-1.025007	-0.739791
-0.824124	-0.576494
-0.631137	-0.454890
-0.427726	-0.321283
-0.223684	-0.209155
-0.022801	-0.097342
0.182844	0.001836
0.374277	0.079546
0.574238	0.131985
0.774200	0.192005
0.978900	0.239389
1.180757	0.255816
1.378507	0.255184
1.573415	0.247918
1.775272	0.247603
1.972706	0.273506
2.177090	0.297830
2.380843	0.286774
2.572275	0.272874
2.779502	0.275717
2.977569	0.282983
3.175635	0.313625
3.379071	0.334474
3.579033	0.305411
3.779310	0.292460
3.980852	0.291828
4.174495	0.324049
4.374457	0.348689
4.580105	0.357218
4.773117	0.327524
4.977817	0.300673
5.182833	0.317100
5.370159	0.353743
5.577386	0.368275
5.776716	0.354375
5.979520	0.330683
6.179798	0.320890
6.379128	0.349321
6.582880	0.375856
6.777472	0.375540
6.975222	0.345530
7.179290	0.326260
7.379883	0.327840
7.581740	0.381542
7.782966	0.397337
7.977873	0.389124
8.177203	0.358482
8.377481	0.318679
8.575231	0.352796
8.780878	0.399232
8.983367	0.411868
9.179538	0.386596
9.378236	0.350269
9.575039	0.335421
9.775316	0.374277
9.980332	0.409657
9.773737	0.400812
9.581041	0.370802
9.379499	0.327840
9.175116	0.352480
8.977997	0.393862
8.778352	0.397969
8.575231	0.389124
8.374321	0.345846
8.175940	0.312993
7.976294	0.362273
7.785493	0.392283
7.581425	0.399864
7.377357	0.380910
7.177711	0.326260
6.971115	0.323102
6.776208	0.354059
6.582880	0.384385
6.373126	0.373961
6.177902	0.348373
5.982048	0.311413
5.780190	0.327524
5.577702	0.361325
5.369527	0.364168
5.177778	0.354375
4.979080	0.309834
4.776276	0.295619
4.576630	0.316784
