# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 10
flt:plate_Thigh_C 707.806739
flt:plate_Tlow_C 558.614382
flt:plate_Q_kW 0.912090
flt:plate_Tpeak_C 1404.897939
flt:cool_Thigh_C 74.937285
flt:cool_Tlow_C 20.142496
flt:air_psig 70.000000
flt:water_gph 0.800000
flt:cool_Q_kW 0.000000
flt:standoff_in 0.228000
flt:oxygen_scfh 11.699562
flt:fuel_scfh 8.273344
flt:flow_scfh 19.972906
flt:ratio_fto 0.707150

## End Configuration ##
#: Mon Jul 25 12:40:24 2016
-6.634268	-1.467204
-10.006016	-1.885711
-9.824716	-1.833595
-9.626042	-1.775162
-9.429265	-1.750209
-9.224908	-1.814644
-9.018338	-1.783690
-8.830090	-1.783374
-8.621625	-1.742945
-8.425480	-1.667455
-8.234072	-1.657032
-8.015817	-1.638713
-7.825040	-1.622604
-7.620366	-1.545851
-7.430853	-1.492788
-7.235655	-1.467835
-7.015189	-1.461834
-6.835152	-1.507633
-6.621950	-1.475100
-6.429911	-1.414456
-6.217340	-1.352233
-6.023406	-1.278007
-5.833577	-1.306434
-5.619112	-1.285271
-5.423282	-1.228102
-5.226820	-1.229681
-5.017093	-1.143137
-4.827896	-1.156087
-4.625749	-1.147243
-4.434341	-1.142821
-4.218928	-1.109972
-4.022151	-1.053434
-3.826637	-1.055645
-3.616910	-1.035115
-3.430871	-1.022165
-3.224934	-0.997528
-3.029420	-0.935305
-2.826010	-0.894559
-2.615651	-0.817491
-2.429928	-0.815596
-2.231256	-0.824755
-2.020897	-0.760321
-1.831068	-0.753688
-1.621341	-0.691781
-1.430565	-0.664617
-1.219574	-0.632400
-1.027850	-0.618187
-0.829493	-0.613133
-0.615976	-0.555332
-0.438149	-0.532590
-0.220526	-0.511744
-0.025328	-0.466261
0.179053	-0.444151
0.368275	-0.362344
0.571395	-0.267904
0.782729	-0.101764
0.968159	0.051116
1.176650	0.176210
1.382298	0.350584
1.569308	0.457041
1.773376	0.580556
1.968284	0.657634
2.183092	0.746401
2.378631	0.806737
2.572907	0.848435
2.781398	0.905296
2.971251	0.956787
3.175319	1.014596
3.373701	1.053451
3.582192	1.089779
3.777731	1.165278
3.972954	1.155485
4.171021	1.202238
4.376984	1.256572
4.572523	1.254045
4.779119	1.278368
4.974342	1.324173
5.179358	1.351972
5.363841	1.374401
5.580544	1.414835
5.774820	1.428103
5.969728	1.443897
6.172216	1.478330
6.372810	1.477698
6.585407	1.533296
6.773049	1.538034
6.974274	1.529505
7.182765	1.604688
7.371986	1.615429
7.575423	1.631223
7.777279	1.700089
7.978189	1.694402
8.175307	1.695666
8.371795	1.744946
8.587551	1.762952
8.764136	1.785696
8.977365	1.831501
9.174168	1.817602
9.370023	1.808125
9.579778	1.857404
9.770894	1.837187
9.977489	1.864670
9.774685	1.903209
9.567773	1.814443
9.376657	1.833396
9.166903	1.811915
8.973259	1.754422
8.774244	1.746525
8.574599	1.704511
8.377165	1.687453
8.166462	1.668183
7.979453	1.677976
7.778227	1.659654
7.578581	1.674817
7.377357	1.648282
7.172024	1.562358
6.981224	1.567097
6.769258	1.534875
6.578457	1.496652
6.380391	1.527610
6.171900	1.468221
5.979520	1.441686
5.774504	1.438211
5.576754	1.379139
5.375213	1.404727
5.171144	1.351656
4.982555	1.317855
4.764272	1.269207
4.579789	1.254676
