# Configuration automatically generated by WRITE_CONFIG()
connection eth
ip 192.168.0.10
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 10.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 5.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 5
flt:plate_Thigh_C 437.146199
flt:plate_Tlow_C 238.816921
flt:plate_Q_kW 1.212490
flt:plate_Tpeak_C 1355.525856
flt:cool_Thigh_C 76.687728
flt:cool_Tlow_C 21.343642
flt:air_psig 80.000000
flt:water_gph 0.800000
flt:cool_Q_kW 0.000000
flt:standoff_in 0.228000
flt:oxygen_scfh 12.949562
flt:fuel_scfh 9.105375
flt:flow_scfh 22.054938
flt:ratio_fto 0.703142

## End Configuration ##
#: Mon Jul 18 12:53:16 2016
8.376217	1.337441
-10.026546	-1.705990
-9.823136	-1.655769
-9.632360	-1.622920
-9.434951	-1.612497
-9.235646	-1.611549
-9.024024	-1.597652
-8.822509	-1.581859
-8.630469	-1.560381
-8.428638	-1.488998
-8.226175	-1.425827
-8.027187	-1.396768
-7.827883	-1.352233
-7.624788	-1.350338
-7.424537	-1.386977
-7.226180	-1.372763
-7.028455	-1.360761
-6.824728	-1.333281
-6.624161	-1.294431
-6.425488	-1.281797
-6.223026	-1.234419
-6.021511	-1.189883
-5.828523	-1.161456
-5.626377	-1.137767
-5.426441	-1.133977
-5.222714	-1.113762
-5.025305	-1.073965
-4.820632	-1.017743
-4.630487	-0.969733
-4.428972	-0.939727
-4.224298	-0.933725
-4.020888	-0.942885
-3.824742	-0.919196
-3.619752	-0.877819
-3.437820	-0.853498
-3.225566	-0.808963
-3.022156	-0.796013
-2.826642	-0.794118
-2.618809	-0.752109
-2.424243	-0.718313
-2.225255	-0.693360
-2.028477	-0.663670
-1.819066	-0.635874
-1.631132	-0.618818
-1.423932	-0.586285
-1.222100	-0.550594
-1.017743	-0.515534
-0.825071	-0.492161
-0.624188	-0.470998
-0.427410	-0.452995
-0.222737	-0.410038
-0.020274	-0.367714
0.179685	-0.327916
0.374908	-0.259060
0.580872	-0.159250
0.769777	-0.016800
0.978900	0.148727
1.180757	0.293723
1.380087	0.415027
1.571519	0.500003
1.773376	0.555916
1.975865	0.621307
2.179302	0.682906
2.372313	0.692383
2.580488	0.723657
2.782029	0.772936
2.970303	0.777359
3.177214	0.823164
3.374017	0.889502
3.576822	0.886343
3.776783	0.922355
3.985906	0.957735
4.173548	0.946994
4.376984	0.993431
4.573471	1.017755
4.780382	1.033234
4.976869	1.076196
5.179674	1.101783
5.376792	1.109996
5.574859	1.140322
5.777979	1.163699
5.978889	1.172228
6.176323	1.185179
6.384182	1.208240
6.582880	1.188022
6.772417	1.223087
6.977749	1.253097
7.174236	1.266364
7.379251	1.311853
7.579845	1.323857
7.782334	1.310906
7.979136	1.342495
8.174992	1.334914
8.376848	1.359238
8.581864	1.418310
8.775192	1.418942
8.979576	1.416415
9.171640	1.447057
9.373814	1.431262
9.579145	1.452111
9.775316	1.486543
9.979384	1.471696
9.781319	1.428103
9.574408	1.429998
9.377604	1.408833
9.175431	1.441054
8.980840	1.450215
8.785617	1.413888
8.579021	1.375348
8.375269	1.356079
8.174676	1.335861
7.977873	1.375032
7.782966	1.370926
7.579845	1.335861
7.380831	1.281843
7.178658	1.248990
6.980276	1.231932
6.774628	1.252149
6.580985	1.250254
6.382918	1.214242
6.177270	1.165594
5.978257	1.144745
5.779559	1.132109
5.580544	1.153906
5.369211	1.125159
5.179674	1.091359
4.979712	1.054715
4.776907	0.993115
4.577261	0.995326
