# Configuration automatically generated by WRITE_CONFIG()
connection usb
serial 470010172
samplehz 1000.000000
settleus 10.000000
nsample 128

# Analog Inputs
aichannel 0
ainegative 199
airange 10.000000
airesolution 0

aichannel 1
ainegative 199
airange 1.000000
airesolution 0

# Analog Outputs
aochannel 0
aosignal triangle
aofrequency 10.000000
aoamplitude 2.000000
aooffset 2.500000
aoduty 0.500000

# Meta Parameters
int:periods 100
7.081678	1.010479
7.082626	1.010479
7.082942	1.010479
7.083574	1.010479
7.083574	1.010479
7.083258	1.010479
7.082942	1.010479
7.083889	1.010479
7.081678	1.010479
7.082942	1.010479
7.085153	1.010479
7.084837	1.010479
7.085785	1.010479
7.084837	1.010479
7.083258	1.010479
7.077888	1.010479
7.072202	1.010479
7.066832	1.010479
7.063673	1.010479
7.060513	1.010479
7.057671	1.010479
7.056091	1.010479
7.055775	1.010479
7.054512	1.010479
7.054512	1.010479
7.053880	1.010479
7.055143	1.010479
7.057354	1.010479
7.058302	1.010479
7.058618	1.010479
7.058618	1.010479
7.058302	1.010479
7.058302	1.010479
7.058618	1.010479
7.058302	1.010479
7.056407	1.010479
7.057986	1.010479
7.057986	1.010479
7.056407	1.010479
7.057671	1.010479
7.057039	1.010479
7.057354	1.010479
7.058302	1.010479
7.057671	1.010479
7.057039	1.010479
7.057986	1.010479
7.058934	1.010479
7.059566	1.010479
7.059566	1.010479
7.059566	1.010479
7.057986	1.010479
7.057986	1.010479
7.059250	1.010479
7.058934	1.010479
7.058618	1.010479
7.057671	1.010479
7.056723	1.010479
7.058302	1.010479
7.057039	1.010479
7.057671	1.010479
7.057039	1.010479
7.057039	1.010479
7.057671	1.010479
7.057671	1.010479
7.058934	1.010479
7.063988	1.010479
7.070622	1.010479
7.075676	1.010479
7.079151	1.010479
7.081995	1.010479
7.085153	1.010479
7.086733	1.010479
7.087996	1.010479
7.087365	1.010479
7.086101	1.010479
7.084837	1.010479
7.085469	1.010479
7.086101	1.010479
7.085785	1.010479
7.085469	1.010479
7.084521	1.010479
7.084837	1.010479
7.084837	1.010479
7.083574	1.010479
7.082942	1.010479
7.083258	1.010479
7.082626	1.010479
7.082942	1.010479
7.084521	1.010479
7.084206	1.010479
7.083889	1.010479
7.084837	1.010479
7.085153	1.010479
7.083258	1.010479
7.084206	1.010479
7.083889	1.010479
7.083889	1.010479
7.084206	1.010479
7.084521	1.010479
7.085785	1.010479
7.084206	1.010479
7.085153	1.010479
7.084837	1.010479
7.082942	1.010479
7.083258	1.010479
7.084521	1.010479
7.085153	1.010479
7.084837	1.010479
7.084206	1.010479
